atco_code,line,direction,operator,destination,best_departure_estimate,source,datetime
0100BRP90310,A1,Bristol Bus Station,FBRI,,15:45,tnds,2024-12-12 15:45:00
0100BRP90310,A1,Bristol Bus Station,FBRI,,15:57,tnds,2024-12-12 15:57:00
0100BRP90310,A1,Bristol Bus Station,FBRI,,16:09,tnds,2024-12-12 16:09:00
0100BRP90310,A1,Bristol Bus Station,FBRI,,16:21,tnds,2024-12-12 16:21:00
0100BRP90310,A1,Bristol Bus Station,FBRI,,16:38,tnds,2024-12-12 16:38:00
0100BRP90310,A1,Bristol Bus Station,FBRI,,16:50,tnds,2024-12-12 16:50:00
0100BRP90310,A1,Bristol Bus Station,FBRI,,17:02,tnds,2024-12-12 17:02:00
0100BRP90310,A1,Bristol Bus Station,FBRI,,17:14,tnds,2024-12-12 17:14:00
0100BRP90310,A1,Bristol Bus Station,FBRI,,17:26,tnds,2024-12-12 17:26:00
0100BRP90310,73,Hengrove Bus Depot,FBRI,,15:49,tnds,2024-12-12 15:49:00
0100BRP90310,73,Hengrove Bus Depot,FBRI,,16:22,tnds,2024-12-12 16:22:00
0100BRP90310,73,Hengrove Bus Depot,FBRI,,16:51,tnds,2024-12-12 16:51:00
0100BRP90310,73,Hengrove Bus Depot,FBRI,,17:27,tnds,2024-12-12 17:27:00
0100BRP90310,70,Temple Meads Station,FBRI,,15:52,tnds,2024-12-12 15:52:00
0100BRP90310,70,Temple Meads Station,FBRI,,16:14,tnds,2024-12-12 16:14:00
0100BRP90310,70,Temple Meads Station,FBRI,,16:34,tnds,2024-12-12 16:34:00
0100BRP90310,70,Temple Meads Station,FBRI,,16:57,tnds,2024-12-12 16:57:00
0100BRP90310,70,Temple Meads Station,FBRI,,17:21,tnds,2024-12-12 17:21:00
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,15:48,tnds,2024-12-12 15:48:00
0100BRP90312,A1,Bristol Bus Station,FBRI,,15:50,tnds,2024-12-12 15:50:00
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,16:00,tnds,2024-12-12 16:00:00
0100BRP90312,A1,Bristol Bus Station,FBRI,,16:02,tnds,2024-12-12 16:02:00
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,16:12,tnds,2024-12-12 16:12:00
0100BRP90312,A1,Bristol Bus Station,FBRI,,16:14,tnds,2024-12-12 16:14:00
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,16:25,tnds,2024-12-12 16:25:00
0100BRP90312,A1,Bristol Bus Station,FBRI,,16:26,tnds,2024-12-12 16:26:00
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,16:37,tnds,2024-12-12 16:37:00
0100BRP90312,A1,Bristol Bus Station,FBRI,,16:43,tnds,2024-12-12 16:43:00
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,16:49,tnds,2024-12-12 16:49:00
0100BRP90312,A1,Bristol Bus Station,FBRI,,16:55,tnds,2024-12-12 16:55:00
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,17:04,tnds,2024-12-12 17:04:00
0100BRP90312,A1,Bristol Bus Station,FBRI,,17:07,tnds,2024-12-12 17:07:00
0100BRP90312,A1,Bristol Bus Station,FBRI,,17:19,tnds,2024-12-12 17:19:00
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,17:21,tnds,2024-12-12 17:21:00
0100BRP90312,A1,Bristol Bus Station,FBRI,,17:31,tnds,2024-12-12 17:31:00
0100BRP90312,A1,"Bristol Airport, Airport Terminal",FBRI,,17:33,tnds,2024-12-12 17:33:00
0100BRP90312,72,UWE Frenchay Campus,FBRI,,16:00,tnds,2024-12-12 16:00:00
0100BRP90312,72,UWE Frenchay Campus,FBRI,,17:12,tnds,2024-12-12 17:12:00
0100BRP90312,70,UWE Frenchay Campus,FBRI,,16:02,tnds,2024-12-12 16:02:00
0100BRP90312,70,UWE Frenchay Campus,FBRI,,16:27,tnds,2024-12-12 16:27:00
0100BRP90312,70,UWE Frenchay Campus,FBRI,,16:52,tnds,2024-12-12 16:52:00
0100BRP90312,70,UWE Frenchay Campus,FBRI,,17:17,tnds,2024-12-12 17:17:00
0100BRP90312,71,Stoke Gifford Bristol Parkway Stn,SCGL,,16:22,tnds,2024-12-12 16:22:00
0100BRP90312,71,Stoke Gifford Bristol Parkway Stn,SCGL,,17:35,tnds,2024-12-12 17:35:00
0100BRP90312,SB7,"Bishopsworth, Vicarage Road",FBRI,,16:36,tnds,2024-12-12 16:36:00
